numID,note,octave,note_octave,frequency_units,frequency
1,C,2,C2,65.41 Hz,65.41
2,C#,2,C#2,69.30 Hz,69.3
3,D,2,D2,73.42 Hz,73.42
4,D#,2,D#2,77.78 Hz,77.78
5,E,2,E2,82.41 Hz,82.41
6,F,2,F2,87.31 Hz,87.31
7,F#,2,F#2,92.50 Hz,92.5
8,G,2,G2,98.00 Hz,98
9,G#,2,G#2,103.83 Hz,103.83
10,A,2,A2,110.00 Hz,110
11,A#,2,A#2,116.54 Hz,116.54
12,B,2,B2,123.47 Hz,123.47
13,C,3,C3,130.81 Hz,130.81
14,C#,3,C#3,138.59 Hz,138.59
15,D,3,D3,146.83 Hz,146.83
16,D#,3,D#3,155.56 Hz,155.56
17,E,3,E3,164.81 Hz,164.81
18,F,3,F3,174.61 Hz,174.61
19,F#,3,F#3,185.00 Hz,185
20,G,3,G3,196.00 Hz,196
21,G#,3,G#3,207.65 Hz,207.65
22,A,3,A3,220.00 Hz,220
23,A#,3,A#3,233.08 Hz,233.08
24,B,3,B3,246.94 Hz,246.94
25,C,4,C4,261.63 Hz,261.63
26,C#,4,C#4,277.18 Hz,277.18
27,D,4,D4,293.66 Hz,293.66
28,D#,4,D#4,311.13 Hz,311.13
29,E,4,E4,329.63 Hz,329.63
30,F,4,F4,349.23 Hz,349.23
31,F#,4,F#4,369.99 Hz,369.99
32,G,4,G4,392.00 Hz,392
33,G#,4,G#4,415.30 Hz,415.3
34,A,4,A4,440.00 Hz,440
35,A#,4,A#4,466.16 Hz,466.16
36,B,4,B4,493.88 Hz,493.88
37,C,5,C5,523.25 Hz,523.25
38,C#,5,C#5,554.37 Hz,554.37
39,D,5,D5,587.33 Hz,587.33
40,D#,5,D#5,622.25 Hz,622.25
41,E,5,E5,659.25 Hz,659.25
42,F,5,F5,698.46 Hz,698.46
43,F#,5,F#5,739.99 Hz,739.99
44,G,5,G5,783.99 Hz,783.99
45,G#,5,G#5,830.61 Hz,830.61
46,A,5,A5,880.00 Hz,880
47,A#,5,A#5,932.33 Hz,932.33
48,B,5,B5,987.77 Hz,987.77
49,C,6,C6,1046.50 Hz,1046.5
50,C#,6,C#6,1108.73 Hz,1108.73
51,D,6,D6,1174.66 Hz,1174.66
52,D#,6,D#6,1244.51 Hz,1244.51
53,E,6,E6,1318.51 Hz,1318.51
54,F,6,F6,1396.91 Hz,1396.91
55,F#,6,F#6,1479.98 Hz,1479.98
56,G,6,G6,1567.98 Hz,1567.98
57,G#,6,G#6,1661.22 Hz,1661.22
58,A,6,A6,1760.00 Hz,1760
59,A#,6,A#6,1864.66 Hz,1864.66
60,B,6,B6,1975.53 Hz,1975.53
